ID_verbatim_long	ID_verbatim_short	ID_Respondent	Question	Verbatim	CODE-h1	#Words
R_2CyuchOsdvqu1g1Q14	V38	R_2CyuchOsdvqu1g1	Q14	For scientific error, if they are not intentional and false data, or the data not affect the claims and conclusion, mostly come from the carelessness of the author, I would prefer to contact the author personally if they have published or pointed out during the review process. However, for false data, i would prefer zero tolerance. I had reviewed this kind of work, I rejected the work and also informed editor in the comments to editor.	Call for sanction	76
R_3kq5tidadWizQisQ10_Auth_4_TEXT	V450	R_3kq5tidadWizQis	Q10_Auth_4_TEXT	The error was in a paper that reported theoretical predictions of scattering cross-sections, and the error changed the numerical values for some of these properties.  Such cross-sections are widely used in modelling of various chemical environments, and are difficult to measure, so it is important that reported values are as accurate as possible.	Other	54
R_1I5xbwcm3qPOaJ9Q14	V71	R_1I5xbwcm3qPOaJ9	Q14	For your interest, please take a look at the two biggest modern scientific controversies in my field"  1.  The current 'unresolved lipid mediators'.  The authors (in London and at Harvard) use a method which effectively integrates noise and calls it a signal.  It has lead to a series of big papers, and is completely incorrect.  Prof. [ANONYMISED] in [ANONYMISED] is leading an effort to get the errors noticed and the papers corrected.    2.  The old work of [ANONYMISED] and [ANONYMISED] on the SELDI-TOF instrument by Ciphergen in which they reported use of a genetic algorithm to distinguish ovarian cancer from dried blood spots.  This was published in the lancet in the early 2000's, and led to thousands of man-hours of work to refute and figure out what went wrong, but it was again based on small signal variations in the noise and unreliable correlations.  It should never have been taken seriously but thousands of hospitals bought those instruments and were very unhappy that they didn't work.	Concerns about the common good, the community, the consequences of propagation	178
R_NWv0xV9XitZZAvDQ14	V70	R_NWv0xV9XitZZAvD	Q14	For example, in my research field, a "seminal" paper is widely cited:(dx.doi.org/10.1021/ja3084434 | Pierri et al., J. Am. Chem. Soc. 2012, 134, 18197−18200). The authors have published a corrigendum that totally changes the conclusions, because the effect previously reported is assigned to impurities. However, it seems that nobody has noticed the correction, and the original conclusions continues to be cited in articles and in reviews.   I think that repeating the experiments of other researchers is the best way to show that there is a mistake, but it is not rewarding, especially when these people are well known.	correction is ignored	99
R_2zU3c1dmGmIw2u8Q11_Auth_6_TEXT	V361	R_2zU3c1dmGmIw2u8	Q11_Auth_6_TEXT	The results were still valid, though the interpretation we had proposed (with caveats) was wrong. We discovered it was based on further data, which was not sufficiently solid for publication, hence we felt there was not much that could be done.	Interpretation	41
R_2dg7BYEzVII7KAsQ4_notAuth_8_TEXT	V377	R_2dg7BYEzVII7KAs	Q4_notAuth_8_TEXT	I did not see a reason to act. The error was obvious for those experienced in the method.	Minor error, conclusions unchanged	18
R_2saIIyCmeYeskJqQ10_Auth_4_TEXT	V378	R_2saIIyCmeYeskJq	Q10_Auth_4_TEXT	I did not take action as it was a minor error	Minor error, conclusions unchanged	11
R_1QlRoWAYRD7s6j1Q3_notAuth_10_TEXT	V262	R_1QlRoWAYRD7s6j1	Q3_notAuth_10_TEXT	I did not take formal action because neither the error nor the scope of the paper were substantial enough (and I did not know the authors at all).	Minor error, conclusions unchanged	28
R_Uuw96CFUaEtdYf7Q9_Auth_14_TEXT	V111	R_Uuw96CFUaEtdYf7	Q9_Auth_14_TEXT	I did nothing because it did not affect the results, which were correct	Minor error, conclusions unchanged	13
R_31hcXRJqz1OElzQQ9_Auth_14_TEXT	V380	R_31hcXRJqz1OElzQ	Q9_Auth_14_TEXT	I did nothing because the error I detected was unimportant.	Minor error, conclusions unchanged	10
R_11Z3J3zFsXDqdBjQ9_Auth_14_TEXT	V112	R_11Z3J3zFsXDqdBj	Q9_Auth_14_TEXT	I did nothing since that error had only minor impact to results (some change in a rate) and no impact to coclusions.	Minor error, conclusions unchanged	22
R_2TRer5TNqA2HG7hQ2_notAuth_15_TEXT	V183	R_2TRer5TNqA2HG7h	Q2_notAuth_15_TEXT	I proved the error by experiment and published the correction. Have done this several times, sometimes in the same journal, other times in a different journal.   Mostly I do nothing about minor mistakes.	Minor error, conclusions unchanged	35
R_23UGoMpaHw0zrZYQ11_Auth_6_TEXT	V382	R_23UGoMpaHw0zrZY	Q11_Auth_6_TEXT	I thought writing a corrigendum would be as having a discussion with myself, i.e. the error I made was minor and somewhat specific so re-discussing it again seemed somewhat out of place.	Minor error, conclusions unchanged	32
R_2Y2IofySgcz8peFQ14	V108	R_2Y2IofySgcz8peF	Q14	In my opinion, some small mistakes can be omitted, except the error hurts the logic of the conclusion.	Minor error, conclusions unchanged	18
R_2zi1tHNP4owQYl7Q11_Auth_6_TEXT	V390	R_2zi1tHNP4owQYl7	Q11_Auth_6_TEXT	it was minor mistake	Minor error, conclusions unchanged	4
R_31d6ha4dIjSqnrtQ11_Auth_6_TEXT	V113	R_31d6ha4dIjSqnrt	Q11_Auth_6_TEXT	it was not a major issue, one parameter was wrong, it did not affect the conclusion and it was clear to be an error in units	Minor error, conclusions unchanged	26
R_RfdYGFH4uY4iluVQ11_Auth_6_TEXT	V393	R_RfdYGFH4uY4iluV	Q11_Auth_6_TEXT	Minor error not affecting the outcomes	Minor error, conclusions unchanged	6
R_1jqr0PWK0k8SuWFQ11_Auth_6_TEXT	V394	R_1jqr0PWK0k8SuWF	Q11_Auth_6_TEXT	minor mistake in a 15 year old paper	Minor error, conclusions unchanged	8
R_2wnmMuVWfRQZGClQ4_notAuth_8_TEXT	V395	R_2wnmMuVWfRQZGCl	Q4_notAuth_8_TEXT	not important  minor error	Minor error, conclusions unchanged	5
R_2BlX9iUfKyXdI8ZQ4_notAuth_8_TEXT	V402	R_2BlX9iUfKyXdI8Z	Q4_notAuth_8_TEXT	the error was very minor	Minor error, conclusions unchanged	5
R_PHG44CHEeSuIFLXQ3_notAuth_10_TEXT	V403	R_PHG44CHEeSuIFLX	Q3_notAuth_10_TEXT	The errors were not major and could be corrected over time, so I just ignored the paper	Minor error, conclusions unchanged	17
R_2QX61OqWNPvRFXGQ11_Auth_6_TEXT	V404	R_2QX61OqWNPvRFXG	Q11_Auth_6_TEXT	The mistake only affected the reported number by around 15%. This is very close to the inherent uncertainty in determining these numbers.	Minor error, conclusions unchanged	22
R_1hLQdMjxjueH0DNQ11_Auth_6_TEXT	V405	R_1hLQdMjxjueH0DN	Q11_Auth_6_TEXT	The mistake was negligible so I left the paper as it is.	Minor error, conclusions unchanged	12
R_2xPJJMiiqm0NsxKQ10_Auth_4_TEXT	V406	R_2xPJJMiiqm0NsxK	Q10_Auth_4_TEXT	There was no real action because the errors (small error in an equation or some misinterpretation) were small and insignificant when considering the overall outcome of the paper or the generalo conclusions. If every single little error is reported or revised (in a corrigendum), there would probably be a corrigendum for 50% of all papers. Corrections should be reserved for serious errors and in that case, a corrigendum or retraction of the paper would be appropriate.	Minor error, conclusions unchanged	76
R_1jqr0PWK0k8SuWFQ11_Auth_6_TEXT	V394	R_1jqr0PWK0k8SuWF	Q11_Auth_6_TEXT	minor mistake in a 15 year old paper	Old paper	8
R_3Rkoq1Rf6kNEyH6Q4_notAuth_8_TEXT	V433	R_3Rkoq1Rf6kNEyH6	Q4_notAuth_8_TEXT	Papers were too old...	Old paper	4
R_1mWBDWQk0g6RvqeQ4_notAuth_8_TEXT	V434	R_1mWBDWQk0g6Rvqe	Q4_notAuth_8_TEXT	The article was published many years prior.	Old paper	7
R_2qawJFLe0iwFLTJQ4_notAuth_8_TEXT	V436	R_2qawJFLe0iwFLTJ	Q4_notAuth_8_TEXT	The paper was about 10 years old and in an obscure journal.	Old paper	12
R_2Y2IofySgcz8peFQ14	V108	R_2Y2IofySgcz8peF	Q14	In my opinion, some small mistakes can be omitted, except the error hurts the logic of the conclusion.	Conclusions changes	18
R_1oFSxRzTTOCXJUNQ10_Auth_4_TEXT	V116	R_1oFSxRzTTOCXJUN	Q10_Auth_4_TEXT	The calibration of the instrument was was not identical to later measurements which I thought to b more accurate, the actual conclusions where not affected.	Minor error, conclusions unchanged	25
R_r0xbudjtjaAkd2NQ10_Auth_4_TEXT	V117	R_r0xbudjtjaAkd2N	Q10_Auth_4_TEXT	the error did not change the conclusions	Minor error, conclusions unchanged	7
R_AtCtcp1NUqBlQ3fQ10_Auth_4_TEXT	V118	R_AtCtcp1NUqBlQ3f	Q10_Auth_4_TEXT	The error did not change the main conclusion, so it did not justify a formal action, but it was good thing to mention to students as an example of being careless in paper writing.	Minor error, conclusions unchanged	34
R_2CQ7hnhSI2tx9AdQ3_notAuth_10_TEXT	V119	R_2CQ7hnhSI2tx9Ad	Q3_notAuth_10_TEXT	the error did not fundamentally change the conclusion, so we simply pointed it out to the authors	Minor error, conclusions unchanged	17
R_12fIuD4odvoOEBwQ10_Auth_4_TEXT	V120	R_12fIuD4odvoOEBw	Q10_Auth_4_TEXT	The error does not affect the conclusion of the paper	Minor error, conclusions unchanged	10
R_1pnUM87I9D9fmlMQ10_Auth_4_TEXT	V121	R_1pnUM87I9D9fmlM	Q10_Auth_4_TEXT	The print error was die to equation layout and did not affect the main conclusions of the paper at all	Minor error, conclusions unchanged	20
R_2Vm4Y5eVWaEStrtQ10_Auth_4_TEXT	V122	R_2Vm4Y5eVWaEStrt	Q10_Auth_4_TEXT	We discovered the error while carrying out research for a comprehensive article on the topic, and corrected it there.  It did not change the conclusions of the original paper.	Minor error, conclusions unchanged	30
R_2wgExQsrWjtQJrpQ14	V242	R_2wgExQsrWjtQJrp	Q14	Most errors have been caught in peer review. Most scientists are grateful and open to working on errors and view this as part of the process. However, I have seen authors attacked because of financial or political reasons.	Relationships	38
R_1NEtv4lSpFrrZNYQ14	V123	R_1NEtv4lSpFrrZNY	Q14	1) When I was a referee, I detected an scientific error in a manuscript of a colleague. I wrote this error in my referee report. In the revised version, the error was still in the paper. I again wrote it in my referee report, but the author did not correct ot. Nevertheless the paper was published with the error.  Another collgeaue made a similar experience. Apparently some journals are not interested in correcting errors.  2) We observed an error in a publication, and wrote to the author (name-by name). In his further work, he corrected the error, but did not acknowledge us at all.  3) A colleague observed an strong error in a publication of another colleague. The publication was in a high-ranking journal (Nature).Some time later, it became obvious that the other colleague had done multiple scientific frauds, e.g. he wrote papers on experimental results, but he had never carried out any experiments. My colleague submitted a manuscript to Nature stating that the "experimental results" had to be corrected, but the editor of Nature replied that the journal is interested in correcting errors.  4) I acted as a witness for a scientific fraud: I was contacted by a Czech University. One scientist had published a paper, in which one of the graphics was obviously faked: The "Experimental Curve" was composed of identical 4 repeating pieces of another curve. I confirmed the fraud.   For any discussion, please feel free to contact me: [ANONYMISED]	Contact authors	249
R_2CvlnN5zyUyWz2xQ14	V15	R_2CvlnN5zyUyWz2x	Q14	Even when authors and institutions wish to correct errors or retract papers, journals and editors are often reluctant to act. This is especially a problem in FFP cases where all authors may not be in agreement.	Authors are reluctant to correct	36
R_2CvlnN5zyUyWz2xQ14	V15	R_2CvlnN5zyUyWz2x	Q14	Even when authors and institutions wish to correct errors or retract papers, journals and editors are often reluctant to act. This is especially a problem in FFP cases where all authors may not be in agreement.	Authors are reluctant to correct	36
R_1KllL3f7UOyfczOQ14	V501	R_1KllL3f7UOyfczO	Q14	A reviewer pointed out a sign error in my mathematical deduction, which played an important role in quantitatively validating my simulation results. Although this had negligible influence on the conclusion of my paper, I still appreciated his/her kindness for giving me the chance to correct this error.	Reviewers point out error, authors glad to be notified about an error	47
R_10uAjyAR7inoX5jQ14	V408	R_10uAjyAR7inoX5j	Q14	All the situations I have been involved with are through blind peer review of journal articles. In several occasions I have sent back manuscripts, "strongly" indicating what needs to be relooked...on a couple of occasions, the author sent a thank you, via the Editor, indicating that their paper had been improved, and I even saw the corrections in the final published manuscripts. I have also benefitted immensely from similar robust peer review.  I think now there are just too many errors popping up in scientific literature because of some hectic pressure to publish, which compromises ethics. I just read something on C&EN about a highly cited scientist who has been suspended who published over 100 papers in 2022 and has already published 58 papers this year alone! ([ANONYMISED])...how does one person publish so many meaningful papers at that rate and be sure of all the details in them on so many diverse research angles? Situations like this are one example of how errors (genuine or otherwise) creep in.	Reviewers point out error, authors glad to be notified about an error	169
R_2Yx4gwQtOedv1lTQ14	V407	R_2Yx4gwQtOedv1lT	Q14	At several occasions, after reviewing a manuscript and pointing out inconsistencies or errors, the authors corrected their manuscript according to the remarks made.  For several manuscripts I submitted, reviewers pointed at unclarities, inconsistencies or errors, that I remedied largely according the remarks made.  At one occasion I encountered a published paper where the authors quoted one of my papers stating exactly the opposite of what was the conclusion of that paper.  At another occasion I encountered a published paper, with authors from elsewhere, which almost verbatim copied the text from one of my papers.   At one or two occasions I received mail from somebody who pointed out some misprint in one of my papers, which I subsequently corrected in an erratum or in a follow-up paper.	Reviewers point out error, authors glad to be notified about an error	131
R_2zBjgeV48nCYLsjQ14	V72	R_2zBjgeV48nCYLsj	Q14	From my point of view, peer review process is very important. It allowed me to point several errors in papers from others, and vice versa! Corrections before publications have no real consequences for the author (everybody can do a mistake) and the community (no propagation of wrong conclusions).	Reviewers point out error, authors glad to be notified about an error	48
R_3KZnWITKNCtelnYQ14	V504	R_3KZnWITKNCtelnY	Q14	I am not sure about correcting papers on the pressure of reviewers. I have corrected my own papers during review processes but I don't remember strong errors.  I remember one of my earlty papers which on the basis of good and reliable data I formulated wrongly a compound. I corrected it in a further paper. This was a good lesson.	Reviewers point out error, authors glad to be notified about an error	61
R_3COgZ4l5nGQYWhQQ14	V128	R_3COgZ4l5nGQYWhQ	Q14	I have experienced several interactions with peer reviewers that have corrected errors or advanced the science in my papers and I value those interactions immensely.   As a peer reviewer, I try to make my reviews as constructive as possible while pointing out errors -- the idea of pointing out the error is to help the authors make better claims.  When I have found significant errors in the literature, I have tried to work with the author to figure out what happened and why. I have tried to be sensitive to the effect that publishing a criticism would have on a junior scientist.	Reviewers point out error, authors glad to be notified about an error	105
R_tXybaS5Z9ktRueZQ14	V473	R_tXybaS5Z9ktRueZ	Q14	I have had generally good experiences, and all at the peer review level. I have corrected errors in manuscripts that I have reviewed, and I have also corrected errors in my own manuscripts based on the advice of a reviewer. Good (and anonymous) peer review is the key to scientific integrity and elimination (to the extent possible) of errors. If I may go a little further with this argument, we need to get back to a time with fewer journals, so that peer review can be done more carefully and with less burden (in terms of requests) on reviewers. The proliferation of publication opportunities has not been positive in terms of maintenance of scientific integrity.	Reviewers point out error, authors glad to be notified about an error	115
R_3RpVcilbJQqFkEjQ14	V505	R_3RpVcilbJQqFkEj	Q14	I have had the experience of a reviewer explaining why experiments in our manuscript were not done properly, and was able to learn from that to do the experiments properly for sound interpretation as part of the revision. I have also served this function for the authors of manuscripts that I have reviewed.	Reviewers point out error, authors glad to be notified about an error	53
